region,District,TownType,Town,StreetType,Street,Address
Саратовская область,Александрово-Гайский,п,Знаменский,ул,Молодежная,Саратовская область Александрово-Гайский п Знаменский ул Молодежная
Саратовская область,Ивантеевский,п,Знаменский,ул,Молодежная,Саратовская область Ивантеевский п Знаменский ул Молодежная
Саратовская область,Ивантеевский,п,Знаменский,ул,Советская,Саратовская область Ивантеевский п Знаменский ул Советская
Саратовская область,Ивантеевский,п,Знаменский,ул,Центральная,Саратовская область Ивантеевский п Знаменский ул Центральная
Саратовская область,Александрово-Гайский,с,Александров Гай,ул,20 лет Района,Саратовская область Александрово-Гайский с Александров Гай ул 20 лет Района
Саратовская область,Александрово-Гайский,с,Александров Гай,тер,Газовиков дома,Саратовская область Александрово-Гайский с Александров Гай тер Газовиков дома
Саратовская область,Александрово-Гайский,с,Александров Гай,ул,Коммунистическая,Саратовская область Александрово-Гайский с Александров Гай ул Коммунистическая
Саратовская область,Александрово-Гайский,с,Александров Гай,ул,Красного Бойца,Саратовская область Александрово-Гайский с Александров Гай ул Красного Бойца
Саратовская область,Александрово-Гайский,с,Александров Гай,ул,Новобазарная,Саратовская область Александрово-Гайский с Александров Гай ул Новобазарная
Саратовская область,Александрово-Гайский,с,Александров Гай,ул,Пристань,Саратовская область Александрово-Гайский с Александров Гай ул Пристань
Саратовская область,Александрово-Гайский,с,Александров Гай,проезд,Связистов,Саратовская область Александрово-Гайский с Александров Гай проезд Связистов
Саратовская область,Ивантеевский,с,Ивантеевка,ул,Зеленая,Саратовская область Ивантеевский с Ивантеевка ул Зеленая
Саратовская область,Ивантеевский,с,Ивантеевка,ул,Интернациональная,Саратовская область Ивантеевский с Ивантеевка ул Интернациональная
Саратовская область,Ивантеевский,с,Ивантеевка,ул,Карьерная,Саратовская область Ивантеевский с Ивантеевка ул Карьерная
Саратовская область,Ивантеевский,с,Ивантеевка,ул,Кооперативная,Саратовская область Ивантеевский с Ивантеевка ул Кооперативная
Саратовская область,Ивантеевский,с,Ивантеевка,ул,Пионерская,Саратовская область Ивантеевский с Ивантеевка ул Пионерская
Саратовская область,Ивантеевский,с,Ивантеевка,ул,Советская,Саратовская область Ивантеевский с Ивантеевка ул Советская
Саратовская область,Ивантеевский,с,Ивантеевка,ул,Степная,Саратовская область Ивантеевский с Ивантеевка ул Степная
Саратовская область,Ивантеевский,с,Ивантеевка,ул,Юбилейная,Саратовская область Ивантеевский с Ивантеевка ул Юбилейная
Саратовская область,Екатериновский,п,Индустриальный,ул,Зеленая,Саратовская область Екатериновский п Индустриальный ул Зеленая
Саратовская область,Екатериновский,п,Индустриальный,ул,Советская,Саратовская область Екатериновский п Индустриальный ул Советская
Саратовская область,Самойловский,п,Краснознаменский,ул,Молодежная,Саратовская область Самойловский п Краснознаменский ул Молодежная
Саратовская область,Краснопартизанский,п,Михайловский,ул,Отрадная,Саратовская область NULL п Михайловский ул Отрадная
Саратовская область,Краснопартизанский,п,Михайловский,мкр,Солнечный,Саратовская область NULL п Михайловский мкр Солнечный
Саратовская область,Федоровский,п,Мокроус,ул,50 лет Октября,Саратовская область Федоровский п Мокроус ул 50 лет Октября
Саратовская область,Федоровский,п,Мокроус,ул,Железнодорожная,Саратовская область Федоровский п Мокроус ул Железнодорожная
Саратовская область,Федоровский,п,Мокроус,ул,Новая,Саратовская область Федоровский п Мокроус ул Новая
Саратовская область,Федоровский,п,Мокроус,ул,Первомайская,Саратовская область Федоровский п Мокроус ул Первомайская
Саратовская область,Федоровский,п,Мокроус,ул,Пионерская,Саратовская область Федоровский п Мокроус ул Пионерская
Саратовская область,Федоровский,п,Мокроус,ул,Победы,Саратовская область Федоровский п Мокроус ул Победы
Саратовская область,Федоровский,п,Мокроус,ул,Сельхозтехника,Саратовская область Федоровский п Мокроус ул Сельхозтехника
Саратовская область,Федоровский,п,Мокроус,ул,Степная,Саратовская область Федоровский п Мокроус ул Степная
Саратовская область,Федоровский,п,Мокроус,ул,Строительная,Саратовская область Федоровский п Мокроус ул Строительная
Саратовская область,Федоровский,п,Мокроус,ул,Юнева,Саратовская область Федоровский п Мокроус ул Юнева
Саратовская область,Питерский,п,Нива,ул,Комсомольская,Саратовская область Питерский п Нива ул Комсомольская
Саратовская область,Новобурасский,п,Новые Бурасы,ул,Баумана,Саратовская область Новобурасский п Новые Бурасы ул Баумана
Саратовская область,Новобурасский,п,Новые Бурасы,ул,Гоголя,Саратовская область Новобурасский п Новые Бурасы ул Гоголя
Саратовская область,Новобурасский,п,Новые Бурасы,ул,Советская,Саратовская область Новобурасский п Новые Бурасы ул Советская
Саратовская область,Перелюбский,ст,Новый Перелюб,ул,Вокзальная,Саратовская область Перелюбский ст Новый Перелюб ул Вокзальная
Саратовская область,Дергачевский,п,Орошаемый,ул,Советская,Саратовская область Дергачевский п Орошаемый ул Советская
Саратовская область,Дергачевский,п,Орошаемый,ул,Центральная,Саратовская область Дергачевский п Орошаемый ул Центральная
Саратовская область,Перелюбский,с,Перелюб,пер,Мирный,Саратовская область Перелюбский с Перелюб пер Мирный
Саратовская область,Перелюбский,с,Перелюб,ул,Рабочая,Саратовская область Перелюбский с Перелюб ул Рабочая
Саратовская область,Перелюбский,с,Перелюб,ул,Советская,Саратовская область Перелюбский с Перелюб ул Советская
Саратовская область,Перелюбский,с,Перелюб,ул,Чкаловская,Саратовская область Перелюбский с Перелюб ул Чкаловская
Саратовская область,Балтайский,с,Балтай,ул,50 лет Октября,Саратовская область Балтайский с Балтай ул 50 лет Октября
Саратовская область,Балтайский,с,Балтай,ул,В.И.Ленина,Саратовская область Балтайский с Балтай ул В.И.Ленина
Саратовская область,Балтайский,с,Балтай,ул,Колхозная,Саратовская область Балтайский с Балтай ул Колхозная
Саратовская область,Балтайский,с,Балтай,тер,Поселка Строителей,Саратовская область Балтайский с Балтай тер Поселка Строителей
Саратовская область,Балтайский,с,Балтай,ул,Рабочая,Саратовская область Балтайский с Балтай ул Рабочая
Саратовская область,Питерский,с,Питерка,ул,Им Ленина,Саратовская область Питерский с Питерка ул Им Ленина
Саратовская область,Питерский,с,Питерка,ул,Комсомольская,Саратовская область Питерский с Питерка ул Комсомольская
Саратовская область,Питерский,с,Питерка,пер,Малоузенский,Саратовская область Питерский с Питерка пер Малоузенский
Саратовская область,Питерский,с,Питерка,ул,Молодежная,Саратовская область Питерский с Питерка ул Молодежная
Саратовская область,Питерский,с,Питерка,пер,Московский,Саратовская область Питерский с Питерка пер Московский
Саратовская область,Питерский,с,Питерка,ул,Радищева,Саратовская область Питерский с Питерка ул Радищева
Саратовская область,Питерский,с,Питерка,ул,Советская,Саратовская область Питерский с Питерка ул Советская
Саратовская область,Питерский,с,Питерка,ул,Юбилейная,Саратовская область Питерский с Питерка ул Юбилейная
Саратовская область,Екатериновский,п,Прудовой,ул,Пионерская,Саратовская область Екатериновский п Прудовой ул Пионерская
Саратовская область,Ровенский,п,Ровное,ул,Гагарина,Саратовская область Ровенский п Ровное ул Гагарина
Саратовская область,Ровенский,п,Ровное,ул,Карла Маркса,Саратовская область Ровенский п Ровное ул Карла Маркса
Саратовская область,Ровенский,п,Ровное,ул,Красноармейская,Саратовская область Ровенский п Ровное ул Красноармейская
Саратовская область,Ровенский,п,Ровное,ул,Ленина,Саратовская область Ровенский п Ровное ул Ленина
Саратовская область,Ровенский,п,Ровное,ул,Речная,Саратовская область Ровенский п Ровное ул Речная
Саратовская область,Самойловский,п,Самойловка,ул,30 лет Победы,Саратовская область Самойловский п Самойловка ул 30 лет Победы
Саратовская область,Самойловский,п,Самойловка,ул,40 лет Победы,Саратовская область Самойловский п Самойловка ул 40 лет Победы
Саратовская область,Самойловский,п,Самойловка,ул,Базарная,Саратовская область Самойловский п Самойловка ул Базарная
Саратовская область,Самойловский,п,Самойловка,пер,Заречный,Саратовская область Самойловский п Самойловка пер Заречный
Саратовская область,Самойловский,п,Самойловка,ул,Колхозная,Саратовская область Самойловский п Самойловка ул Колхозная
Саратовская область,Самойловский,п,Самойловка,пер,Комсомольский,Саратовская область Самойловский п Самойловка пер Комсомольский
Саратовская область,Самойловский,п,Самойловка,ул,Новая,Саратовская область Самойловский п Самойловка ул Новая
Саратовская область,Самойловский,п,Самойловка,ул,Пионерская,Саратовская область Самойловский п Самойловка ул Пионерская
Саратовская область,Самойловский,п,Самойловка,ул,Чапаева,Саратовская область Самойловский п Самойловка ул Чапаева
Саратовская область,Самойловский,с,Святославка,ул,Коммунистическая,Саратовская область Самойловский с Святославка ул Коммунистическая
Саратовская область,Самойловский,с,Святославка,ул,Ленина,Саратовская область Самойловский с Святославка ул Ленина
Саратовская область,Дергачевский,п,Советский,ул,Целинная,Саратовская область Дергачевский п Советский ул Целинная
Саратовская область,Новобурасский,с,Тепловка,ул,Луговая,Саратовская область Новобурасский с Тепловка ул Луговая
Саратовская область,Новобурасский,с,Тепловка,ул,Советская,Саратовская область Новобурасский с Тепловка ул Советская
Саратовская область,Балтайский,с,Царевщина,ул,Кирова,Саратовская область Балтайский с Царевщина ул Кирова
Саратовская область,Новобурасский,п,Белоярский,ул,Коммунарная,Саратовская область Новобурасский п Белоярский ул Коммунарная
Саратовская область,Новобурасский,п,Белоярский,ул,Ленина,Саратовская область Новобурасский п Белоярский ул Ленина
